ZoneID,CityID,ZoneName_AR,ZoneName_EN,TrafficFactor,BaseDeliveryMinutes,MinOrderForDelivery_EGP,DeliveryFee_EGP
1,1,مدينة نصر,Nasr City,2.4,35,70,30
2,1,مصر الجديدة,Heliopolis,2.2,33,70,28
3,1,التجمع الخامس,New Cairo – 5th Settlement,1.2,22,100,45
4,1,الزمالك,Zamalek,2.0,30,95,35
5,1,عين شمس / شبرا,Ain Shams / Shubra,2.7,40,55,22
6,3,المهندسين / الدقي,Mohandessin / Dokki,2.1,32,80,30
7,3,حدائق الأهرام,Haram Gardens,1.8,35,60,25
8,3,الشيخ زايد,Sheikh Zayed,1.3,20,95,40
9,3,6 أكتوبر,6 October City,1.2,22,90,42
10,3,المعادي,Maadi,1.6,28,80,32
11,2,كورنيش الإسكندرية,Alexandria Corniche,1.7,30,80,28
12,2,المنتزه,Montazah,1.4,28,75,27
13,2,الرمل,Raml Station,1.6,30,75,25
14,2,سيدي بشر,Sidi Bishr,1.3,26,70,25
15,4,وسط المنصورة,Mansoura Downtown,1.2,25,65,22
16,4,دقادوس / بحري,Dakadous / Bahri,1.0,28,60,20
17,4,ميت غمر,Mit Ghamr area,0.9,32,55,20
18,5,وسط الإسماعيلية,Ismailia Downtown,1.0,25,60,20
19,5,حي الإفرنج,Al Afrang District,0.9,28,55,20
20,7,وسط طنطا,Tanta Downtown,1.1,26,65,22
21,7,المحلة الكبرى,Mahalla El Kubra area,0.9,30,55,20
22,9,وسط بورسعيد,Port Said Downtown,1.0,24,60,22
23,9,بورفؤاد,Port Fouad,0.8,30,55,20
24,6,وسط أسيوط,Asyut Downtown,1.0,25,60,20
25,6,ديروط,Dayrout area,0.8,35,50,20
26,11,وسط السويس,Suez Downtown,1.0,26,60,22
27,11,عتاقة,Ataka area,0.7,32,50,20
28,10,وسط دمياط,Damietta Downtown,1.0,25,60,20
29,10,رأس البر,Ras El Bar,0.8,30,55,20
30,13,وسط المنيا,Minya Downtown,1.0,25,60,20
31,13,مطاي,Matay area,0.7,35,50,20
32,8,وسط الزقازيق,Zagazig Downtown,0.9,26,55,20
33,12,وسط الفيوم,Fayoum Downtown,0.7,28,50,20
34,14,وسط شبين الكوم,Shebin El Kom Downtown,0.6,24,50,20
35,15,مدينة الشروق,El Shorouk City,1.3,22,90,38
