ItemID,CategoryID,ItemName_AR,ItemName_EN,CurrentPrice_EGP,PackagingCost_EGP,PrepTimeMinutes,IsAvailableForDelivery,IsBundle
1,1,كفتة مشوية,Grilled Kofta,120.00,3.50,20,1,0
2,1,كباب حلة,Hala Kabab,145.00,3.50,25,1,0
3,1,فراخ مشوية,Grilled Chicken,135.00,3.50,25,1,0
4,1,كبدة مشوية,Grilled Liver,110.00,3.00,15,1,0
5,1,مشكل مشاوي,Mixed Grill,195.00,4.00,30,1,0
6,1,شاورما لحم,Meat Shawarma,130.00,3.00,15,1,0
7,1,شاورما فراخ,Chicken Shawarma,115.00,3.00,12,1,0
8,2,ملوخية بالأرانب,Molokhia with Rabbit,110.00,3.00,30,1,0
9,2,فول مدمس,Ful Medames,45.00,2.00,10,1,0
10,2,طعمية / فلافل,Taameya / Falafel,40.00,2.00,8,1,0
11,2,كشري,Koshari,65.00,2.50,10,1,0
12,2,مسقعة,Moussaka,95.00,3.00,25,1,0
13,2,مكرونة بشاميل,Macarona Bechamel,100.00,3.00,30,1,0
14,2,حمام محشي,Stuffed Pigeon,160.00,4.00,40,1,0
15,2,كوارع,Cow Feet,90.00,3.00,20,1,0
16,3,طحينة,Tahini Plate,35.00,2.00,5,1,0
17,3,بابا غنوج,Baba Ganoush,40.00,2.00,8,1,0
18,3,حمص بالطحينة,Hummus with Tahini,40.00,2.00,5,1,0
19,3,ورق عنب,Stuffed Grape Leaves,70.00,2.50,10,1,0
20,3,فلافل طبق,Falafel Plate,55.00,2.00,8,1,0
21,4,شاي,Tea,20.00,1.50,5,1,0
22,4,قهوة تركي,Turkish Coffee,25.00,1.50,5,1,0
23,4,يانسون,Anise (Yansoon),20.00,1.50,5,1,0
24,5,عصير ليمون,Lemon Juice,35.00,2.00,5,1,0
25,5,عصير مانجو,Mango Juice,45.00,2.00,5,1,0
26,5,عصير فواكه مشكل,Mixed Fruit Juice,50.00,2.00,6,1,0
27,5,كركديه,Hibiscus (Karkade),30.00,2.00,5,1,0
28,6,أم علي,Om Ali,75.00,3.00,15,1,0
29,6,كنافة,Kunafa,70.00,3.00,12,1,0
30,6,قطايف,Qatayef,65.00,3.00,15,1,0
31,6,بسبوسة,Basbousa,50.00,2.50,10,1,0
32,6,مهلبية,Muhallabia,55.00,2.50,10,1,0
33,7,وجبة مشاوي عائلية,Family Mixed Grill,550.00,8.00,45,1,1
34,7,وجبة فراخ عائلية,Family Chicken Meal,480.00,8.00,40,1,1
35,7,وجبة شعبية عائلية,Family Traditional Meal,380.00,7.00,40,1,1
36,8,برجر لحم,Beef Burger,110.00,3.00,12,1,0
37,8,برجر فراخ,Chicken Burger,100.00,3.00,12,1,0
38,8,دبل برجر لحم,Double Beef Burger,145.00,3.50,15,1,0
39,8,كريسبي فراخ,Crispy Chicken,105.00,3.00,12,1,0
40,9,بيتزا مارجريتا,Margherita Pizza,135.00,4.00,20,1,0
41,9,بيتزا ببروني,Pepperoni-Style Pizza,155.00,4.00,22,1,0
42,9,بيتزا مشكلة,Mixed Pizza,165.00,4.00,22,1,0
43,10,وجبة أطفال فراخ,Kids Chicken Meal,90.00,3.00,15,1,0
44,10,وجبة أطفال برجر,Kids Burger Meal,85.00,3.00,12,1,0
45,10,وجبة أطفال مكرونة,Kids Pasta Meal,75.00,3.00,15,1,0
46,11,سلطة خضراء,Green Salad,40.00,2.00,5,1,0
47,11,تبولة,Tabbouleh,45.00,2.00,6,1,0
48,11,فتوش,Fattoush,45.00,2.00,6,1,0
49,12,سندويش شاورما فراخ,Chicken Shawarma Sandwich,75.00,2.50,10,1,0
50,12,سندويش شاورما لحم,Meat Shawarma Sandwich,85.00,2.50,10,1,0
51,12,سندويش كبدة,Liver Sandwich,65.00,2.00,8,1,0
52,12,سندويش كفتة,Kofta Sandwich,70.00,2.00,10,1,0
53,12,سندويش فلافل,Falafel Sandwich,35.00,2.00,6,1,0
54,12,سندويش بسطرمة,Basterma Sandwich,90.00,2.50,10,1,0
55,1,ريش ضأن مشوية,Grilled Lamb Ribs,220.00,4.00,35,1,0
56,2,أرز بالشعرية,Rice with Vermicelli,35.00,2.00,15,1,0
57,6,كنافة بالجبنة,Kunafa with Cheese,80.00,3.00,15,1,0
58,5,عصير برتقال,Orange Juice,40.00,2.00,5,1,0
59,3,سجق مشوي,Grilled Sausage Plate,85.00,2.50,12,1,0
60,7,وجبة لحم ضأن عائلية,Family Lamb Meal,680.00,9.00,50,1,1
